object_id,ra,dec,flux_y_sersic,flux_j_sersic,flux_h_sersic,spe_class,spe_qso_prob,spe_z
-535043797277348989,53.50437972807216,-27.73489894545015,26.53465,39.013603,52.434093,qso,1,7.2755895
-534865976277320247,53.48659767313247,-27.73202471805457,4.2534156,8.22184,13.906763,qso,1,7.168703
-533387730277272135,53.33877302974823,-27.7272135881968,3.1243064,3.773787,4.7847095,qso,1,6.122866
-532755641277271710,53.27556412424061,-27.72717101255079,115.40608,132.73083,154.20166,qso,1,6.6164484
-532629527277255952,53.2629527231183,-27.7255952895632,7.5560503,7.754078,7.0321217,qso,1,7.45967
-531149100277254800,53.11491002520464,-27.7254800916077,4.763685,5.00312,5.9442096,qso,1,7.047087
-531082991277220078,53.10829915203535,-27.72200787330849,4.95108,7.7819247,10.971041,qso,1,5.051524
-533035488277198104,53.30354882542817,-27.71981043685536,7.137084,7.9645367,8.928238,qso,1,6.2958827
-532012879277195955,53.20128795554619,-27.71959550671553,5.3984437,5.8620815,6.1755786,qso,1,4.5196266
-531782961277176754,53.17829611023746,-27.71767543197553,4.776076,5.2104597,6.0536656,qso,1,4.525149
-531485008277195795,53.14850089102099,-27.7195795215884,12.21741,20.643963,28.760353,qso,1,6.208855
-532021723277078620,53.20217237075105,-27.70786203871049,7.683002,12.307251,18.167562,qso,1,7.1605387
-531097862277027620,53.10978625590511,-27.7027620464606,4.651056,4.917587,4.983252,qso,1,1.7191252
-532297706276979033,53.22977062848216,-27.6979033340788,3.5944529,4.5647745,5.7248945,qso,1,5.374529
-531097431276995709,53.10974318908524,-27.6995709256042,10.441812,11.973775,14.622663,qso,1,5.5818124
-533824246276902860,53.38242462201529,-27.69028608598191,6.4325013,7.0028667,7.018258,qso,1,1.8019348
-533191654276843910,53.31916544938768,-27.68439101299137,6.506555,6.804297,7.7081504,qso,1,7.544691
-533174030276840379,53.31740309108864,-27.68403795354306,13.402337,20.776464,33.791477,qso,1,7.570364
-532721355276864168,53.27213552273658,-27.68641684006293,3.2302158,4.2515254,4.86001,qso,1,4.049606
-531880477276854226,53.18804770275341,-27.68542265553782,5.311746,7.3074636,10.152676,qso,1,7.2508
-531877262276860489,53.18772620248894,-27.68604895148011,24.09471,33.757343,46.58395,qso,1,4.5472937
-533326760276733537,53.33267609547637,-27.67335372766559,3.7286174,4.363859,4.795042,qso,1,1.813165
-531098459276758233,53.10984593389136,-27.67582333502548,7.5613475,9.855457,11.210151,qso,1,1.0633073
-530875550276750122,53.08755505549484,-27.67501221391622,5.2079496,6.049868,8.6291685,qso,1,4.53621
-531477456276722907,53.14774563263247,-27.67229070327566,4.946918,9.173298,15.468332,qso,1,5.667935
-531992936276522367,53.19929361475764,-27.65223676783408,45.034943,55.331566,68.91909,qso,1,6.2594943
-531427941276499127,53.1427941420681,-27.64991270705353,4.9046974,7.330746,10.235827,qso,1,4.464705
-533271852276403597,53.32718522259043,-27.64035976248477,4.0928516,4.1931157,5.0170693,qso,1,7.259055
-531409540276437668,53.14095407462931,-27.64376683527041,5.055611,5.546194,5.0861816,qso,1,1.1389396
-531310080276281463,53.13100809483478,-27.62814631254867,3.5282118,5.8419366,7.9037194,qso,1,5.988809
-532566039276156189,53.2566039808037,-27.615618989704,13.651033,15.074402,15.324042,qso,1,4.0344796
-531645946276202900,53.16459465229011,-27.62029000366705,35.19571,46.343025,59.687775,qso,1,7.1523824
-531511212276174692,53.15112128994875,-27.61746925255344,7.9178247,9.878289,12.121487,qso,1,0.92381495
-532564449276140837,53.25644495083125,-27.61408376918277,6.899417,9.472104,11.666795,qso,1,7.6564975
-531217330276031462,53.12173308577554,-27.60314620619344,31.056278,41.804478,56.322353,qso,1,6.1800776
